Protein_A,Protein_B,coexpression,experimentally_determined_interaction,database_annotated,combined_score,automated_textmining,Disease associated,Experimental System,Author,Pubmed ID
BCL2L1,KRAS,0.047,0.165,0.9,0.982,0.807,Respiratory diseases,Affinity Capture-MS,Rosenbluh J (2016),27684187
BCL2L1,TP53,0.074,0.986,0,0.999,0.998,Respiratory diseases,Two-hybrid,Vinayagam A (2011),21900206
CBLC,EGFR,0.081,0.989,0.65,0.997,0.301,Respiratory diseases,Affinity Capture-Western,Kim M (1999),10571044
EGFR,SOS2,0.044,0.857,0.9,0.998,0.902,Respiratory diseases,Affinity Capture-MS,Tong J (2009),19531499
EGFR,PIK3R2,0.044,0.848,0.9,0.993,0.623,Respiratory diseases,Affinity Capture-MS,Tong J (2009),19531499
EGFR,KRAS,0.053,0.662,0.9,0.997,0.918,Respiratory diseases,Affinity Capture-Western,Barbieri MA (2003),12783862
EGFR,PDGFRA,0.108,0.663,0.9,0.986,0.59,Respiratory diseases,Two-hybrid,Kotlyar M (2015),25402006
EGFR,PIK3R3,0,0.81,0.9,0.99,0.554,Respiratory diseases,Protein-peptide,Jones RB (2006),16273093
EGFR,PIK3CA,0,0.79,0.9,0.999,0.976,Respiratory diseases,Affinity Capture-Western,Cochet C (1991),1845983
EGFR,TP53,0,0.329,0,0.943,0.919,Respiratory diseases,Synthetic Lethality,Ye H (2016),27438146
EGFR,RIN1,0.042,0.596,0,0.715,0.323,Respiratory diseases,Affinity Capture-Western,Kong C (2007),17403676
EGFR,GNAS,0.042,0.369,0,0.718,0.571,Respiratory diseases,Affinity Capture-MS,Tong J (2014),24797263
EGFR,PRKCE,0,0.621,0,0.726,0.307,Respiratory diseases,Two-hybrid,Kotlyar M (2015),25402006
EGFR,STAP2,0.055,0.718,0,0.76,0.174,Respiratory diseases,Two-hybrid,Kotlyar M (2015),25402006
EGFR,RET,0,0.735,0,0.826,0.369,Respiratory diseases,Two-hybrid,Kotlyar M (2015),25402006
EGFR,MAPK8,0.047,0.621,0,0.83,0.567,Respiratory diseases,Two-hybrid,Kotlyar M (2015),25402006
EGFR,NF1,0.055,0.33,0,0.847,0.778,Respiratory diseases,Affinity Capture-MS,Yao Z (2017),28065597
EGFR,PRKCA,0.049,0.788,0,0.932,0.693,Respiratory diseases,Affinity Capture-Western,Gauthier ML (2003),12878187
EGFR,JAK1,0.045,0.417,0.9,0.97,0.537,Respiratory diseases,Affinity Capture-MS,Tong J (2008),18271526
EGFR,SHC4,0,0.857,0.9,0.988,0.251,Respiratory diseases,Two-hybrid,Kotlyar M (2015),25402006
EGFR,IGF1R,0.113,0.585,0,0.989,0.972,Respiratory diseases,Affinity Capture-Western,Morgillo F (2006),17047074
EGFR,PIK3CB,0,0.622,0.9,0.993,0.842,Respiratory diseases,Affinity Capture-MS,Foerster S (2013),23956138
EGFR,ERBB4,0,0.786,0.4,0.996,0.977,Respiratory diseases,Affinity Capture-Western,Meijer IM (2013),23153581
EGFR,ERRFI1,0.182,0.988,0,0.996,0.669,Respiratory diseases,Affinity Capture-MS,Tong J (2009),19531499
EGFR,MET,0.25,0.806,0,0.996,0.978,Respiratory diseases,Affinity Capture-MS,Li J (2013),24189400
EGFR,PIK3R1,0.042,0.9,0.9,0.998,0.901,Respiratory diseases,Affinity Capture-MS,Tong J (2009),19531499
EGFR,PTK2,0.086,0.994,0.9,0.999,0.926,Respiratory diseases,Two-hybrid,Kotlyar M (2015),25402006
ERBB4,PIK3R2,0,0.654,0.9,0.977,0.394,Respiratory diseases,Affinity Capture-MS,Schulze WX (2006),16729043
ERBB4,PIK3R3,0.067,0.194,0.9,0.942,0.325,Respiratory diseases,Reconstituted Complex,Hause RJ (2012),22973453
ERBB4,TP53,0,0.292,0,0.726,0.629,Respiratory diseases,Affinity Capture-Western,Gilmore-Hebert M (2010),20858735
ERBB4,SHC4,0,0.369,0.9,0.942,0.164,Respiratory diseases,Reconstituted Complex,Hause RJ (2012),22973453
ERBB4,PIK3R1,0.06,0.194,0.9,0.948,0.398,Respiratory diseases,Reconstituted Complex,Hause RJ (2012),22973453
EREG,ERBB4,0,0.292,0.9,0.999,0.994,Respiratory diseases,Affinity Capture-Luminescence,Komurasaki T (1997),9419975
EREG,EGFR,0.042,0.966,0.9,0.999,0.996,Respiratory diseases,Affinity Capture-Luminescence,Komurasaki T (1997),9419975
IGF1R,PIK3R3,0,0.719,0.9,0.99,0.696,Respiratory diseases,Reconstituted Complex,Mothe I (1997),9415396
IGF1R,TP53,0.049,0.292,0,0.853,0.8,Respiratory diseases,Affinity Capture-Western,Broussas M (2009),19165858
IGF1R,PTK2,0.047,0.331,0.9,0.978,0.697,Respiratory diseases,Affinity Capture-Western,Manes S (1999),10082579
IGF1R,PIK3CD,0.044,0.167,0.9,0.95,0.447,Respiratory diseases,Negative Genetic,Han K (2017),28319085
IGF1R,PIK3R1,0.042,0.803,0.9,0.994,0.735,Respiratory diseases,Co-localization,Chen TC (2014),25241761
JAK1,IGF1R,0.074,0.295,0.9,0.964,0.518,Respiratory diseases,Reconstituted Complex,Gual P (1998),9492017
KRAS,PIK3R2,0.047,0.147,0.9,0.946,0.417,Respiratory diseases,Two-hybrid,Wang J (2011),21988832
KRAS,BSG,0.044,0.547,0,0.762,0.494,Respiratory diseases,Proximity Label-MS,Bigenzahn JW (2018),30442766
KRAS,GNAS,0.044,0.142,0,0.792,0.767,Respiratory diseases,Proximity Label-MS,Adhikari H (2018),30194290
KRAS,JAK1,0.081,0.187,0.5,0.796,0.518,Respiratory diseases,Synthetic Lethality,Luo J (2009),19490893
KRAS,RGL2,0.055,0.434,0.9,0.958,0.313,Respiratory diseases,Two-hybrid,Wang J (2011),21988832
KRAS,PIK3R1,0.072,0.102,0.9,0.963,0.618,Respiratory diseases,Proximity Label-MS,Go CD (2021),34079125
KRAS,IGF1R,0.075,0.224,0.9,0.971,0.655,Respiratory diseases,Affinity Capture-MS,Rosenbluh J (2016),27684187
KRAS,PIK3CB,0.07,0.216,0.9,0.973,0.679,Respiratory diseases,Proximity Label-MS,Go CD (2021),34079125
KRAS,MET,0.074,0.337,0.9,0.979,0.703,Respiratory diseases,Proximity Label-MS,Go CD (2021),34079125
KRAS,NF1,0.064,0.543,0.9,0.996,0.925,Respiratory diseases,Synthetic Lethality,Luo J (2009),19490893
KRAS,PIK3CA,0.143,0.627,0.9,0.998,0.951,Respiratory diseases,Two-hybrid,Li W (2000),10783161
MAPK8,TP53,0.086,0.845,0.9,0.997,0.861,Respiratory diseases,Affinity Capture-Western,Hu MC (1997),9393873
MAPK8,BCL2L1,0.057,0.678,0.9,0.986,0.593,Respiratory diseases,Co-localization,Chen TC (2014),25241761
MET,PIK3R2,0,0.197,0.65,0.768,0.24,Respiratory diseases,Reconstituted Complex,Leung KK (2014),24728074
MET,PIK3R3,0,0.197,0.65,0.844,0.49,Respiratory diseases,Reconstituted Complex,Leung KK (2014),24728074
MET,PIK3R1,0,0.197,0.65,0.872,0.582,Respiratory diseases,Reconstituted Complex,Leung KK (2014),24728074
MET,SHC4,0.097,0.18,0.9,0.92,0.05,Respiratory diseases,Reconstituted Complex,Leung KK (2014),24728074
PDGFRA,PIK3CA,0,0.334,0.9,0.99,0.866,Respiratory diseases,Affinity Capture-Western,Valius M (1993),7682895
PDGFRA,PIK3R1,0.054,0.808,0.9,0.995,0.795,Respiratory diseases,Affinity Capture-Western,Zhu MJ (2007),17452978
PIK3CA,PIK3R2,0,0.881,0.922,0.999,0.996,Respiratory diseases,Affinity Capture-MS,Hein MY (2015),26496610
PIK3CA,PIK3R3,0,0.881,0.944,0.999,0.994,Respiratory diseases,Affinity Capture-MS,Hein MY (2015),26496610
PIK3CA,PTK2,0.09,0.512,0.9,0.97,0.41,Respiratory diseases,Affinity Capture-Western,Ling J (1999),10733346
PIK3CB,PIK3R2,0,0.916,0.914,0.999,0.996,Respiratory diseases,FRET,Olazabal-Moran M (2021),34831026
PIK3CB,PIK3R1,0.049,0.936,0.914,0.999,0.996,Respiratory diseases,Affinity Capture-Western,Hu P (1994),8139559
PIK3CD,PIK3R2,0.042,0.563,0.914,0.999,0.996,Respiratory diseases,Reconstituted Complex,Vanhaesebroeck B (1997),9113989
PIK3CD,PIK3R1,0.042,0.987,0.914,0.999,0.995,Respiratory diseases,Reconstituted Complex,Vanhaesebroeck B (1997),9113989
PIK3R1,PIK3R2,0.044,0.864,0.9,0.999,0.959,Respiratory diseases,Affinity Capture-MS,Mueller PM (2020),32203420
PIK3R1,PIK3R3,0.042,0.807,0.944,0.997,0.768,Respiratory diseases,Affinity Capture-MS,Cho NH (2022),35271311
PIK3R1,PTK2,0.042,0.785,0.9,0.988,0.489,Respiratory diseases,Affinity Capture-Western,Lee DY (2010),19889638
PIK3R1,RET,0,0.355,0.5,0.898,0.71,Respiratory diseases,Reconstituted Complex,Besset V (2000),10995764
PIK3R2,PIK3R3,0.049,0.835,0.9,0.999,0.957,Respiratory diseases,Affinity Capture-MS,Brehme M (2009),19380743
PIK3R3,PTK2,0.098,0.67,0.9,0.971,0.145,Respiratory diseases,Two-hybrid,Grossmann A (2015),25814554
PIK3R3,PIK3CD,0,0.61,0.914,0.999,0.996,Respiratory diseases,Affinity Capture-MS,Huttlin EL (2017),28514442
PIK3R3,PIK3CB,0,0.857,0.914,0.999,0.996,Respiratory diseases,Two-hybrid,Grossmann A (2015),25814554
PRKCA,PRKCE,0.077,0.456,0.4,0.765,0.312,Respiratory diseases,Affinity Capture-MS,Kennedy SA (2020),31980649
PTK2,TP53,0,0.829,0,0.928,0.596,Respiratory diseases,Affinity Capture-Western,Lim ST (2008),18206965
RIN1,KRAS,0,0.367,0.9,0.969,0.56,Respiratory diseases,Affinity Capture-MS,Huttlin EL (2017),28514442
TP53,AGO2,0,0.167,0.5,0.872,0.719,Respiratory diseases,Affinity Capture-Western,Lunardi A (2010),20308539
TP53,PDGFRA,0.059,0.193,0,0.762,0.712,Respiratory diseases,FRET,Li Z (2017),28205554
TP53,JAK1,0.088,0.163,0,0.774,0.728,Respiratory diseases,Affinity Capture-MS,Liu J (2020),32807901
TP53,MET,0,0.189,0,0.804,0.769,Respiratory diseases,FRET,Li Z (2017),28205554
TP53,GNAS,0,0.165,0,0.81,0.782,Respiratory diseases,Negative Genetic,Liu C (2019),30862715
ABI1,ABI2,0,0.751,0.9,0.996,0.864,Liver diseases,Affinity Capture-MS,Hein MY (2015),26496610
ABI1,NCKAP1,0.06,0.908,0.9,0.999,0.997,Liver diseases,Co-fractionation,Wan C (2015),26344197
ABI2,NCKAP1,0.11,0.989,0.9,0.999,0.998,Liver diseases,Affinity Capture-MS,Huttlin EL (2017),28514442
AXL,GRB2,0.055,0.585,0,0.931,0.838,Liver diseases,Far Western,Braunger J (1997),9178760
BCAR1,CRK,0.064,0.928,0.9,0.999,0.998,Liver diseases,Affinity Capture-Western,Zhou B (2004),15492270
BCAR1,CRKL,0.042,0.749,0.9,0.999,0.968,Liver diseases,Far Western,Salgia R (1996),8810278
BCAR1,ABI1,0.042,0.05,0.5,0.783,0.581,Liver diseases,Co-fractionation,Havugimana PC (2022),35831314
BCAR1,GRB2,0.042,0.627,0,0.982,0.955,Liver diseases,Co-fractionation,Havugimana PC (2022),35831314
BCAR1,DOCK1,0.106,0.292,0.9,0.999,0.996,Liver diseases,Reconstituted Complex,Hsia DA (2003),12615911
BFSP1,BFSP2,0.044,0.433,0,0.999,0.999,Liver diseases,Two-hybrid,Luck K (2020),32296183
CRISP3,A1BG,0,0.292,0,0.941,0.92,Liver diseases,Affinity Capture-MS,Udby L (2004),15461460
CRK,DOCK5,0.055,0.613,0,0.885,0.712,Liver diseases,Affinity Capture-Western,Frank SR (2017),27669437
CRK,ELMO2,0.055,0.377,0.9,0.995,0.935,Liver diseases,Affinity Capture-MS,Kennedy SA (2020),31980649
CRK,PTPN11,0.089,0.39,0,0.725,0.546,Liver diseases,Affinity Capture-MS,Brehme M (2009),19380743
CRK,ELMO3,0,0.202,0,0.966,0.959,Liver diseases,Affinity Capture-MS,Kennedy SA (2020),31980649
CRK,CRKL,0.06,0,0.9,0.979,0.798,Liver diseases,Negative Genetic,Thompson NA (2021),33637726
CRK,GRB2,0.062,0.788,0.5,0.98,0.829,Liver diseases,Reconstituted Complex,Riordan SM (2000),10970810
CRK,ELMO1,0.047,0.465,0.9,0.998,0.969,Liver diseases,Affinity Capture-MS,Huttlin EL (2021),33961781
CRK,DOCK1,0.058,0.904,0.9,0.999,0.999,Liver diseases,Reconstituted Complex,Hsia DA (2003),12615911
CRKL,DOCK5,0.044,0.54,0,0.835,0.655,Liver diseases,Affinity Capture-MS,Hein MY (2015),26496610
CRKL,ELMO2,0.056,0.464,0.9,0.956,0.233,Liver diseases,Affinity Capture-MS,Hein MY (2015),26496610
CRKL,ELMO1,0.049,0.494,0.9,0.961,0.287,Liver diseases,Affinity Capture-MS,Huttlin EL (2021),33961781
CRKL,GAB2,0,0.625,0,0.796,0.479,Liver diseases,Protein-peptide,Crouin C (2001),11334882
CRKL,PTPN11,0.088,0.654,0,0.925,0.781,Liver diseases,Affinity Capture-Western,Chin H (1997),9344843
CRKL,DOCK1,0.042,0.687,0.9,0.995,0.878,Liver diseases,Affinity Capture-MS,Hein MY (2015),26496610
CRYAA,CRYBA1,0.522,0.573,0,0.987,0.942,Liver diseases,Reconstituted Complex,Gupta R (2009),19401464
CRYAA,CRYAB,0,0.927,0.9,0.996,0.49,Liver diseases,Two-hybrid,Fu L (2002),11700327
CRYAB,CRYBA1,0.127,0.617,0,0.911,0.756,Liver diseases,Reconstituted Complex,Gupta R (2009),19401464
CRYBA1,CRYBB1,0.141,0.785,0,0.864,0.303,Liver diseases,Two-hybrid,Rolland T (2014),25416956
DOCK1,ELMO2,0,0.374,0.9,0.999,0.999,Liver diseases,Affinity Capture-MS,Mueller PM (2020),32203420
DOCK1,ELMO1,0,0.938,0.9,0.999,0.999,Liver diseases,Affinity Capture-Western,White DT (2010),20016009
DOCK1,RAC1,0.122,0.868,0.5,0.975,0.629,Liver diseases,Co-fractionation,Wan C (2015),26344197
DOCK3,ELMO2,0,0.715,0,0.84,0.461,Liver diseases,Affinity Capture-MS,Mueller PM (2020),32203420
DOCK3,ELMO1,0,0.88,0,0.944,0.469,Liver diseases,Affinity Capture-MS,Mueller PM (2020),32203420
DOCK4,ELMO2,0.055,0.787,0,0.967,0.85,Liver diseases,Affinity Capture-MS,Mueller PM (2020),32203420
DOCK4,GRB2,0.086,0.594,0,0.793,0.487,Liver diseases,Two-hybrid,Wang J (2011),21988832
DOCK5,ELMO3,0,0.661,0,0.815,0.358,Liver diseases,Affinity Capture-MS,Huttlin EL (2021),33961781
DOCK5,ELMO2,0.042,0.725,0,0.864,0.527,Liver diseases,Affinity Capture-MS,Huttlin EL (2017),28514442
DOCK5,ELMO1,0.042,0.98,0,0.99,0.515,Liver diseases,Affinity Capture-MS,Mueller PM (2020),32203420
ELMO1,ELMO2,0.049,0.804,0.9,0.98,0.057,Liver diseases,Affinity Capture-MS,Huttlin EL (2015),26186194
ELMO1,DOCK4,0.048,0.861,0,0.935,0.449,Liver diseases,Affinity Capture-MS,Huttlin EL (2015),26186194
ELMO1,ELMO3,0,0.808,0.9,0.981,0.081,Liver diseases,Affinity Capture-MS,Huttlin EL (2021),33961781
ELMO1,RHOG,0.062,0.503,0.9,0.997,0.958,Liver diseases,Two-hybrid,Patel M (2011),21930703
ELMO3,DOCK3,0,0.861,0,0.909,0.377,Liver diseases,Affinity Capture-MS,Huttlin EL (2017),28514442
ELMO3,ELMO2,0,0.776,0.9,0.978,0.085,Liver diseases,Affinity Capture-MS,Huttlin EL (2017),28514442
ELMO3,DOCK4,0,0.763,0,0.844,0.369,Liver diseases,Affinity Capture-MS,Huttlin EL (2017),28514442
ELMO3,DOCK1,0,0.838,0.9,0.999,0.991,Liver diseases,Affinity Capture-MS,Huttlin EL (2017),28514442
GAB2,PTPN11,0,0.893,0.9,0.999,0.995,Liver diseases,Affinity Capture-Western,Boudot C (2002),12135708
GAB2,GRB2,0.055,0.991,0.9,0.999,0.996,Liver diseases,Affinity Capture-Western,Lynch DK (2002),11782427
GAB3,GRB2,0.044,0.292,0.9,0.975,0.682,Liver diseases,Reconstituted Complex,Wolf I (2002),11739737
GAB3,PTPN11,0.066,0.292,0.5,0.885,0.694,Liver diseases,Affinity Capture-Western,Wolf I (2002),11739737
GRB2,CRKL,0.049,0.3,0.5,0.921,0.792,Liver diseases,Affinity Capture-Western,Park RK (1999),10477741
GRB2,DOCK1,0.055,0.789,0,0.903,0.556,Liver diseases,Reconstituted Complex,Hsia DA (2003),12615911
GRB2,PTPN11,0.115,0.994,0.9,0.999,0.99,Liver diseases,Affinity Capture-Western,Ganju RK (2000),10747947
IFT122,WDR35,0.092,0.997,0.9,0.999,0.986,Liver diseases,Affinity Capture-MS,Huttlin EL (2015),26186194
PNN,ZCCHC17,0.058,0.424,0,0.76,0.594,Liver diseases,Two-hybrid,Chang WL (2003),12893261
RAC1,RAC2,0.083,0.607,0.54,0.823,0.051,Liver diseases,Affinity Capture-MS,Huttlin EL (2021),33961781
RAC1,DOCK3,0.098,0.493,0.5,0.807,0.254,Liver diseases,FRET,Mueller PM (2020),32203420
RAC1,DOCK5,0.122,0.354,0.5,0.739,0.188,Liver diseases,Affinity Capture-MS,Bagci H (2019),31871319
RAC1,ELMO2,0.044,0.182,0.5,0.789,0.525,Liver diseases,Affinity Capture-MS,Bagci H (2019),31871319
RAC1,ABI2,0.044,0.873,0.5,0.966,0.503,Liver diseases,Affinity Capture-MS,Bagci H (2019),31871319
RAC1,RAC3,0,0.828,0.54,0.918,0.046,Liver diseases,Affinity Capture-MS,Huttlin EL (2017),28514442
RAC1,ABI1,0.074,0.17,0.5,0.774,0.481,Liver diseases,Affinity Capture-MS,Bagci H (2019),31871319
RAC1,NCKAP1,0.126,0.935,0.5,0.99,0.69,Liver diseases,Reconstituted Complex,Kitamura Y (1997),9148763
RAC2,ABI1,0.056,0.169,0.5,0.7,0.326,Liver diseases,Affinity Capture-MS,Bagci H (2019),31871319
RAC2,NCKAP1,0.113,0.205,0.9,0.938,0.223,Liver diseases,Affinity Capture-MS,Bagci H (2019),31871319
RAC2,ABI2,0,0.19,0.9,0.947,0.4,Liver diseases,Affinity Capture-MS,Bagci H (2019),31871319
RAC2,ELMO2,0.054,0.6,0.9,0.969,0.278,Liver diseases,Affinity Capture-MS,Huttlin EL (2017),28514442
RAC2,RAC3,0,0.766,0.9,0.976,0.054,Liver diseases,Affinity Capture-MS,Huttlin EL (2017),28514442
RAC2,DOCK1,0.122,0.707,0.9,0.993,0.783,Liver diseases,Affinity Capture-MS,Huttlin EL (2017),28514442
RAC3,ABI2,0,0.19,0.9,0.922,0.116,Liver diseases,Affinity Capture-MS,Bagci H (2019),31871319
RAC3,NCKAP1,0.111,0.205,0.9,0.927,0.091,Liver diseases,Affinity Capture-MS,Bagci H (2019),31871319
RHOG,DOCK5,0.114,0.357,0.5,0.814,0.426,Liver diseases,Affinity Capture-MS,Bagci H (2019),31871319
RHOG,ELMO2,0.063,0.914,0.9,0.999,0.951,Liver diseases,Affinity Capture-MS,Bagci H (2019),31871319
RHOG,RAC1,0.142,0.464,0.4,0.71,0.058,Liver diseases,Affinity Capture-MS,Cho NH (2022),35271311
